iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS
0,2022-05-05 18:41:06.051147,3.0509999999999993,3.0509999999999993,-6.096,-15.24,-15.24,-15.24,-24.384,-24.384,-24.384,-24.384,-36.576,-36.576,-36.576,-15.24,-15.24,-15.24,-15.24,-36.576,-36.576,-15.24,-15.24,-6.096,-15.24,-36.576,1450.0,1.0,1450.0,1.0
1,2022-05-05 18:41:06.319508,3.4954406549806474,3.3748295538831594,86.17991031512442,60.82569719938813,59.42231067447387,58.097939738331014,47.976224487394866,47.30907992691568,47.2035859922538,47.18605101601549,33.937664870082976,33.57833461362819,34.06204051450762,57.86962152756098,61.003882761493244,54.62229568641389,56.42886867462803,35.10482538257304,33.16371954721827,57.1735633407391,56.72641634935858,86.1895092679167,54.34873560085557,33.01152197571502,410.042393424658,1.0,410.042393424658,1.0
2,2022-05-05 18:41:06.860714,3.9325375515923873,3.698348784492125,86.19925757375294,61.11801774034572,59.730393606506865,58.42136916102507,48.30806267759959,47.64796782778785,47.543763701161524,47.52679102376039,34.26577772677698,33.90115593144601,34.37742133929148,58.157898180595915,61.29192736724805,55.05834078815908,56.77636869438168,35.447564518860105,33.487276403613485,57.499852343162985,57.072868674736654,86.20870218746815,54.793093131546776,33.33534882962307,406.4692066888217,1.0,406.4692066888217,1.0
3,2022-05-05 18:41:07.415369,4.362424699208565,4.021444224947971,86.21855176025689,61.406942915810646,60.035187803225995,58.74161107319376,48.63692790328401,47.98405594075665,47.881173438253285,47.864771464081784,34.59255279850636,34.22322975434909,34.692160758850136,58.445415348134276,61.57674520777792,55.48731141202873,57.12058484242608,35.78791470080383,33.8104235790863,57.82385427863918,57.41616641285742,86.22784359614066,55.23010957001255,33.65886437651779,402.9056098430936,1.0,402.9056098430936,1.0
4,2022-05-05 18:41:07.983185,4.785228986269662,4.344010191800022,86.237791208092,61.69246227509038,60.33663432964979,59.05855925520538,48.96271762454979,48.31724415355905,48.21571556250448,48.19989233280861,34.917890887519285,34.5444592674518,35.00616703365628,58.73211375617931,61.858348701870774,55.909327572832424,57.4612921447181,36.12606389598209,34.133054766368375,58.14561483001719,57.75631798746373,86.24693183273573,55.65991878706624,33.98195522040757,399.3519121563397,1.0,399.3519121563397,1.0
5,2022-05-05 18:41:08.510843,5.201070061875811,4.665948858748799,86.25697436395598,61.97456828129834,60.634681461637385,59.372118909703964,49.28535280563189,48.64746595160273,48.54732587969091,48.53208984529738,35.241711351325016,34.86475848399157,35.319357374431924,59.01794047672863,62.136750249450664,56.32450256961194,57.7982703055085,36.462194875936426,34.455071543635015,58.46517773637176,58.09332797423262,86.26596534804304,56.08264753659976,34.30451574973898,395.8084020483496,1.0,395.8084020483496,1.0
6,2022-05-05 18:41:09.156969,5.610088133855115,4.987142877522522,86.27609861624977,62.25337748715301,60.92960780986736,59.68272624805072,49.60513970679584,48.9749184135585,48.87618151511358,48.861532196470165,35.564001454345686,35.18403997932134,35.63160131437791,59.30265220215009,62.411911731016154,56.73297280691163,58.132532677438604,36.79493324720405,34.77635946779047,58.78195955859138,58.426957631414346,86.2849415423681,56.49841563360884,34.626447973689785,392.27556350978057,1.0,392.27556350978057,1.0
7,2022-05-05 18:41:09.704132,6.012424747039635,5.307474330776683,86.29516203325277,62.528923407908515,61.22146335947058,59.990447127839545,49.922109100221064,49.299602660385105,49.202278188817665,49.18821251451058,35.884686846968044,35.50220205154015,35.94278673192767,59.586122346691205,62.683835097986645,57.13487375278369,58.46423558577684,37.123978800613315,35.09680130142035,59.0958098452486,58.757138173960854,86.30385849009396,56.907363238993014,34.9476345450859,388.7537550368541,1.0,388.7537550368541,1.0
8,2022-05-05 18:41:10.284070,6.408213532097627,5.626833756311226,86.31416325709587,62.80120259528168,61.510194014247936,60.29517803648924,50.23616987523487,49.62143759189552,49.52553666193034,49.512052005549485,36.20367385531096,35.81914558629763,36.252819798474356,59.86829114824273,62.95254298751162,57.53033259546132,58.79313749723668,37.44955189216177,35.416287180670885,59.40679136874172,59.083889346103334,86.32271483466221,57.309631755439845,35.2679576263202,385.2432291829306,1.0,385.2432291829306,1.0
9,2022-05-05 18:41:10.861487,6.7975825160277,5.945117818180386,86.33310097674995,63.07022228765278,61.79577364541901,60.59686026241894,50.54726572788864,49.94036854317401,49.84590260175673,49.832996115294094,36.52088118694363,36.13477867691434,36.5616104502384,60.14909147773473,63.21805515888524,57.91947154829873,59.11909765660656,37.77175875426895,35.73471369106017,59.71492380806414,59.4072167780311,86.34150926570227,57.705354700574865,35.58730781507111,381.7442299024961,1.0,381.7442299024961,1.0
